#RACE 'badger'
Act 0
Aff Z
AlMax 1000
AlMin -1000
AlMax 1000
AlMin -1000
Form AGV
Imm 0
Max 18 18 18 18 18
Off FH
Parts ACDEFHJKQV
Pc FALSE
Points 0
Res 0
Size small
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln 0
WtMin 800
WtMax 2400
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 0
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'bat'
Act 0
Aff TZ
AlMax 1000
AlMin -1000
AlMax 1000
AlMin -1000
Form AGV
Imm 0
Max 18 18 18 18 18
Off FH
Parts ACDEFHJKP
Pc FALSE
Points 0
Res 0
Size tiny
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln S
WtMin 5
WtMax 120
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 0
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'bear'
Act 0
Aff 0
AlMax 1000
AlMin -1000
AlMax 1000
AlMin -1000
Form AGV
Imm 0
Max 18 18 18 18 18
Off DEO
Parts ABCDEFHJKUV
Pc FALSE
Points 0
Res EI
Size large
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln 0
WtMin 80000
WtMax 2400000
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 0
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'beetle'
Act 0
Aff 0
AlMax 1000
AlMin -1000
AlMax 1000
AlMin -1000
Form AGO
Imm 0
Max 18 18 18 18 18
Off 0
Parts ACDEFHMP
Pc FALSE
Points 0
Res 0
Size small
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln 0
WtMin 1
WtMax 160
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 0
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'cat'
Act 0
Aff Z
AlMax 1000
AlMin -1000
AlMax 1000
AlMin -1000
Form AGV
Imm 0
Max 18 18 18 18 18
Off FH
Parts ACDEFHJKQUV
Pc FALSE
Points 0
Res 0
Size small
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln 0
WtMin 800
WtMax 3200
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 0
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'centaur'
Act 0
Aff Z
AlMax 1000
AlMin -1000
AlMax 1000
AlMin -1000
Form ABGO
Imm 0
Max 18 18 18 18 18
Off 0
Parts ACK
Pc FALSE
Points 0
Res ER
Size tiny
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln E
WtMin 1
WtMax 10
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 100
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'centipede'
Act 0
Aff Z
AlMax 1000
AlMin -1000
AlMax 1000
AlMin -1000
Form ABGO
Imm 0
Max 18 18 18 18 18
Off 0
Parts ACK
Pc FALSE
Points 0
Res FI
Size tiny
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln E
WtMin 1
WtMax 10
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 0
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'chimera'
Act 0
Aff 0
AlMax 1000
AlMin -1000
AlMax 1000
AlMin -1000
Form AHMV
Imm 0
Max 18 18 18 18 18
Off 0
Parts ABCDEFGHIJK
Pc FALSE
Points 0
Res 0
Size medium
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln 0
WtMin 16000
WtMax 40000
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 0
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'demon'
Act 0
Aff 0
AlMax -350
AlMin -1000
AlMax -350
AlMin -1000
Form AHMV
Imm 0
Max 18 18 18 18 18
Off 0
Parts ABCDEFGHIJK
Pc FALSE
Points 0
Res 0
Size medium
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln 0
WtMin 16000
WtMax 40000
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 0
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'dog'
Act 0
Aff 0
AlMax 1000
AlMin -1000
AlMax 1000
AlMin -1000
Form AGV
Imm 0
Max 18 18 18 18 18
Off H
Parts ACDEFHJKUV
Pc FALSE
Points 0
Res 0
Size small
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Skill NULL
Stat 13 13 13 13 13
Vuln 0
WtMin 800
WtMax 8000
'barbarian' 0
'bard' 0
'cleric' 0
'druid' 0
'fighter' 0
'mage' 0
'monk' 0
'paladin' 0
'ranger' 0
'rogue' 0
End

#RACE 'doll'
Act 0
Aff 0
AlMax 1000
AlMin -1000
AlMax 1000
